url,gpu_name,store_name,fetch_ts,gpu_price,in_stock,gpu_model
https://www.regard.ru/catalog/tovar323348.htm,NVIDIA Quadro M6000 Dell 24Gb (490-BDNO),Сеть компьютерных магазинов REGARD,1636209280.8980508,367 840 руб,True,Quadro M6000
https://www.regard.ru/catalog/tovar351607.htm,NVIDIA Quadro P1000 PNY 4Gb (VCQP1000DVIV2BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209281.351956,29 990 руб,True,Quadro P1000
https://www.regard.ru/catalog/tovar246560.htm,NVIDIA Quadro P2000 PNY 5Gb (VCQP2000-PB),Сеть компьютерных магазинов REGARD,1636209281.8413239,46 540 руб,True,Quadro P2000
https://www.regard.ru/catalog/tovar328828.htm,NVIDIA Quadro P2200 PNY 5Gb (VCQP2200BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209282.2527902,55 280 руб,True,Quadro P2200
https://www.regard.ru/catalog/tovar289721.htm,NVIDIA Quadro P400 Dell 2Gb (490-BDTB) OEM,Сеть компьютерных магазинов REGARD,1636209282.7694542,10 190 руб,True,Quadro P400
https://www.regard.ru/catalog/tovar351610.htm,NVIDIA Quadro P400 PNY 2Gb (VCQP400DVIV2BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209283.1469054,10 580 руб,True,Quadro P400
https://www.regard.ru/catalog/tovar352502.htm,NVIDIA Quadro P400 PNY 2Gb (VCQP400V2-BLS) OEM,Сеть компьютерных магазинов REGARD,1636209283.5753536,10 190 руб,True,Quadro P400
https://www.regard.ru/catalog/tovar349004.htm,NVIDIA Quadro P400 PNY 2Gb (VCQP400V2-PB) RTL,Сеть компьютерных магазинов REGARD,1636209284.0477936,10 850 руб,True,Quadro P400
https://www.regard.ru/catalog/tovar368257.htm,NVIDIA Quadro P400 PNY 2Gb (VCQP400V2-SB) OEM,Сеть компьютерных магазинов REGARD,1636209284.4806569,10 420 руб,True,Quadro P400
https://www.regard.ru/catalog/tovar349777.htm,NVIDIA Quadro P400 PNY 2Gb (VCQP400V2BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209284.9572344,10 330 руб,True,Quadro P400
https://www.regard.ru/catalog/tovar366385.htm,NVIDIA Quadro P620 PNY 2Gb (VCQP620V2-BLK) OEM,Сеть компьютерных магазинов REGARD,1636209285.4400394,14 090 руб,True,Quadro P620
https://www.regard.ru/catalog/tovar349007.htm,NVIDIA Quadro P620 PNY 2Gb (VCQP620V2-PB) RTL,Сеть компьютерных магазинов REGARD,1636209285.8698452,18 450 руб,True,Quadro P620
https://www.regard.ru/catalog/tovar349778.htm,NVIDIA Quadro P620 PNY 2Gb (VCQP620V2BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209286.3174982,18 450 руб,True,Quadro P620
https://www.regard.ru/catalog/tovar404287.htm,NVIDIA Quadro RTX A5000 PNY 24Gb (VCNRTXA5000-PB),Сеть компьютерных магазинов REGARD,1636209286.7189965,265 210 руб,True,Quadro RTX A5000
https://www.regard.ru/catalog/tovar410859.htm,NVIDIA Quadro RTX A6000 HP 48Gb (2S6U3AA),Сеть компьютерных магазинов REGARD,1636209287.192436,425 830 руб,True,Quadro RTX A6000
https://www.regard.ru/catalog/tovar379412.htm,NVIDIA Quadro RTX A6000 PNY 48Gb (VCNRTXA6000-PB),Сеть компьютерных магазинов REGARD,1636209287.6128168,501 530 руб,True,Quadro RTX A6000
https://www.regard.ru/catalog/tovar393196.htm,NVIDIA Quadro RTX A6000 PNY 48Gb (VCNRTXA6000-SB) OEM,Сеть компьютерных магазинов REGARD,1636209288.0817125,513 680 руб,True,Quadro RTX A6000
https://www.regard.ru/catalog/tovar409971.htm,NVIDIA Quadro RTX4000 8Gb (900-5G160-2550-000) OEM,Сеть компьютерных магазинов REGARD,1636209288.5767531,98 610 руб,True,Quadro RTX 4000
https://www.regard.ru/catalog/tovar386797.htm,NVIDIA Quadro RTX4000 PNY 8Gb (VCQRTX4000-BLK) OEM,Сеть компьютерных магазинов REGARD,1636209289.0270967,87 780 руб,True,Quadro RTX 4000
https://www.regard.ru/catalog/tovar312546.htm,NVIDIA Quadro RTX4000 PNY 8Gb (VCQRTX4000-BSP),Сеть компьютерных магазинов REGARD,1636209289.5244806,91 140 руб,True,Quadro RTX 4000
https://www.regard.ru/catalog/tovar311022.htm,NVIDIA Quadro RTX4000 PNY 8Gb (VCQRTX4000-PB),Сеть компьютерных магазинов REGARD,1636209289.9566886,91 710 руб,True,Quadro RTX 4000
https://www.regard.ru/catalog/tovar391196.htm,NVIDIA Quadro RTX4000 PNY 8Gb (VCQRTX4000-SB) OEM,Сеть компьютерных магазинов REGARD,1636209290.3809624,88 150 руб,True,Quadro RTX 4000
https://www.regard.ru/catalog/tovar310007.htm,NVIDIA Quadro RTX4000 PNY 8Gb (VCQRTX4000BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209290.8504806,88 750 руб,True,Quadro RTX 4000
https://www.regard.ru/catalog/tovar379382.htm,NVIDIA Quadro RTX5000 HP 16Gb (5JH81AA),Сеть компьютерных магазинов REGARD,1636209291.2596369,159 870 руб,True,Quadro RTX 5000
https://www.regard.ru/catalog/tovar402005.htm,NVIDIA Quadro RTX5000 PNY 16Gb (VCQRTX5000-BLK) OEM,Сеть компьютерных магазинов REGARD,1636209291.6819193,176 020 руб,True,Quadro RTX 5000
https://www.regard.ru/catalog/tovar312787.htm,NVIDIA Quadro RTX5000 PNY 16Gb (VCQRTX5000-BSP) OEM,Сеть компьютерных магазинов REGARD,1636209292.0745234,177 870 руб,True,Quadro RTX 5000
https://www.regard.ru/catalog/tovar401828.htm,NVIDIA Quadro RTX5000 PNY 16Gb (VCQRTX5000-SB) OEM,Сеть компьютерных магазинов REGARD,1636209292.494217,201 710 руб,True,Quadro RTX 5000
https://www.regard.ru/catalog/tovar349448.htm,NVIDIA Quadro RTX5000 PNY 16Gb (VCQRTX5000BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209292.9393582,178 240 руб,True,Quadro RTX 5000
https://www.regard.ru/catalog/tovar308716.htm,NVIDIA Quadro RTX5000 PNY 16Gb (X/VCQRTX5000-PB),Сеть компьютерных магазинов REGARD,1636209293.369103,207 090 руб,True,Quadro RTX 5000
https://www.regard.ru/catalog/tovar351308.htm,NVIDIA Quadro RTX6000 24Gb (900-2G150-0040-000) OEM,Сеть компьютерных магазинов REGARD,1636209293.7634737,440 770 руб,True,Quadro RTX 6000
https://www.regard.ru/catalog/tovar316669.htm,NVIDIA Quadro RTX6000 Dell 24Gb (490-BFCZ),Сеть компьютерных магазинов REGARD,1636209294.2409432,352 370 руб,True,Quadro RTX 6000
https://www.regard.ru/catalog/tovar410012.htm,NVIDIA Quadro RTX6000 PNY 24Gb (VCQRTX6000-BLK) OEM,Сеть компьютерных магазинов REGARD,1636209294.6295912,366 060 руб,True,Quadro RTX 6000
https://www.regard.ru/catalog/tovar310006.htm,NVIDIA Quadro RTX6000 PNY 24Gb (VCQRTX6000-BSP),Сеть компьютерных магазинов REGARD,1636209295.7056663,349 260 руб,True,Quadro RTX 6000
https://www.regard.ru/catalog/tovar395927.htm,NVIDIA Quadro RTX6000 PNY 24Gb (VCQRTX6000-SB) OEM,Сеть компьютерных магазинов REGARD,1636209296.0904276,307 870 руб,True,Quadro RTX 6000
https://www.regard.ru/catalog/tovar311023.htm,NVIDIA Quadro RTX6000 PNY 24Gb (X/VCQRTX6000-PB),Сеть компьютерных магазинов REGARD,1636209296.567381,395 690 руб,True,Quadro RTX 6000
https://www.regard.ru/catalog/tovar358070.htm,NVIDIA Quadro RTX8000 48Gb (900-2G150-0050-000) ,Сеть компьютерных магазинов REGARD,1636209296.976273,508 010 руб,True,Quadro RTX 8000
https://www.regard.ru/catalog/tovar352234.htm,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-BSP) OEM,Сеть компьютерных магазинов REGARD,1636209297.4755702,537 890 руб,True,Quadro RTX 8000
https://www.regard.ru/catalog/tovar312540.htm,NVIDIA Quadro RTX8000 PNY 48Gb (VCQRTX8000-PB),Сеть компьютерных магазинов REGARD,1636209297.9101794,560 300 руб,True,Quadro RTX 8000
https://www.regard.ru/catalog/tovar410454.htm,NVIDIA Quadro T1000 HP 4Gb (20X22AA),Сеть компьютерных магазинов REGARD,1636209298.3056464,30 370 руб,True,Quadro T1000
https://www.regard.ru/catalog/tovar392567.htm,NVIDIA Quadro T1000 PNY 4Gb (VCNT1000-BLK/VCNT1000ATX/VCQT1000ATX) OEM,Сеть компьютерных магазинов REGARD,1636209298.7740092,34 530 руб,True,Quadro T1000
https://www.regard.ru/catalog/tovar408493.htm,NVIDIA Quadro T1000 PNY 4Gb (VCNT1000-PB) ,Сеть компьютерных магазинов REGARD,1636209299.1648648,33 780 руб,True,Quadro T1000
https://www.regard.ru/catalog/tovar392569.htm,NVIDIA Quadro T1000 PNY 4Gb (VCNT1000-SB) OEM,Сеть компьютерных магазинов REGARD,1636209299.6217504,33 030 руб,True,Quadro T1000
https://www.regard.ru/catalog/tovar392568.htm,NVIDIA Quadro T1000 PNY 4Gb (VCNT1000BLK-1/VCQT1000ATX) OEM,Сеть компьютерных магазинов REGARD,1636209300.0510452,36 780 руб,True,Quadro T1000
https://www.regard.ru/catalog/tovar410856.htm,NVIDIA Quadro T400 HP 2Gb (340K8AA) OEM,Сеть компьютерных магазинов REGARD,1636209300.434779,9 790 руб,True,Quadro T400
https://www.regard.ru/catalog/tovar403066.htm,NVIDIA Quadro T400 PNY 2Gb (VCNT400-BLK) OEM,Сеть компьютерных магазинов REGARD,1636209300.8944757,10 190 руб,True,Quadro T400
https://www.regard.ru/catalog/tovar403065.htm,NVIDIA Quadro T400 PNY 2Gb (VCNT400-PB),Сеть компьютерных магазинов REGARD,1636209301.3505006,11 550 руб,True,Quadro T400
https://www.regard.ru/catalog/tovar403064.htm,NVIDIA Quadro T400 PNY 2Gb (VCNT400-SB) OEM,Сеть компьютерных магазинов REGARD,1636209301.8467898,10 050 руб,True,Quadro T400
https://www.regard.ru/catalog/tovar403067.htm,NVIDIA Quadro T400 PNY 2Gb (VCNT400BLK-1) OEM,Сеть компьютерных магазинов REGARD,1636209302.2813942,11 620 руб,True,Quadro T400
https://www.regard.ru/catalog/tovar403061.htm,NVIDIA Quadro T600 PNY 4Gb (VCNT600-PB) ,Сеть компьютерных магазинов REGARD,1636209302.801548,19 090 руб,True,Quadro T600
https://www.regard.ru/catalog/tovar395047.htm,NVIDIA Quadro T600 PNY 4Gb (VCNT600-SB)  OEM,Сеть компьютерных магазинов REGARD,1636209303.4004745,16 630 руб,True,Quadro T600
https://www.regard.ru/catalog/tovar411526.htm,Профессиональная видеокарта AMD Radeon Pro W6800 Dell 32Gb (490-BHCL) OEM,Сеть компьютерных магазинов REGARD,1636209303.8536723,217 360 руб,True,No information
https://www.regard.ru/catalog/tovar411751.htm,Профессиональная видеокарта NVIDIA Quadro T600 Dell 4Gb (490-BGXX) OEM,Сеть компьютерных магазинов REGARD,1636209304.2552354,14 530 руб,True,No information
